ProductID,ProductName,ProductStock,Price,Discount,Category_CategoryID
FUR-BO-10000112,"Oak Coffee Table",0,0.00,0,1
FUR-BO-10000330,"Rolling Cabinet",0,0.00,0,1
FUR-BO-10000362,"Rolling Cabinet",17,136.78,30,1
FUR-BO-10000468,"Ergonomic Stool",28,48.58,10,1
FUR-BO-10000711,"Sectional Sofa",0,0.00,0,1
FUR-BO-10000780,"Modular Desk",29,301.47,15,1
FUR-BO-10001337,"Ergonomic Stool",37,102.83,30,1
FUR-BO-10001519,"Ergonomic Stool",29,87.21,20,1
FUR-BO-10001567,"Oak Coffee Table",0,0.00,0,1
FUR-BO-10001601,"Ergonomic Stool",0,0.00,0,1
FUR-BO-10001608,"Rolling Cabinet",0,0.00,0,1
FUR-BO-10001619,"Oak Coffee Table",8,84.98,20,1
FUR-BO-10001798,"Sectional Sofa",15,130.98,30,1
FUR-BO-10001811,"Oak Coffee Table",0,0.00,0,1
FUR-BO-10001918,"Ergonomic Stool",0,0.00,0,1
FUR-BO-10001972,"Sectional Sofa",41,72.59,20,1
FUR-BO-10002202,"Ergonomic Stool",0,0.00,0,1
FUR-BO-10002206,"Ergonomic Stool",0,0.00,0,1
FUR-BO-10002213,"Sectional Sofa",0,0.00,0,1
FUR-BO-10002268,"Ergonomic Stool",19,145.76,30,1
FUR-BO-10002545,"Ergonomic Stool",0,0.00,0,1
FUR-BO-10002598,"Oak Coffee Table",0,0.00,0,1
FUR-BO-10002613,"Oak Coffee Table",0,0.00,0,1
FUR-BO-10002824,"Executive Chair",8,205.33,15,1
FUR-BO-10002853,"Sectional Sofa",11,81.94,20,1
FUR-BO-10002916,"Modular Desk",18,170.98,30,1
FUR-BO-10003034,"Minimalist Bookshelf",0,0.00,0,1
FUR-BO-10003159,"Ergonomic Stool",0,0.00,0,1
FUR-BO-10003272,"Ergonomic Stool",28,176.78,30,1
FUR-BO-10003404,"Modular Desk",0,0.00,0,1
FUR-BO-10003433,"Modular Desk",17,61.96,20,1
FUR-BO-10003441,"Minimalist Bookshelf",0,0.00,0,1
FUR-BO-10003450,"Executive Chair",0,0.00,0,1
FUR-BO-10003546,"Minimalist Bookshelf",29,242.35,15,1
FUR-BO-10003660,"Rolling Cabinet",0,0.00,0,1
FUR-BO-10003893,"Executive Chair",19,586.40,15,1
FUR-BO-10003894,"Rolling Cabinet",0,0.00,0,1
FUR-BO-10003965,"Executive Chair",15,246.13,15,1
FUR-BO-10003966,"Executive Chair",0,0.00,0,1
FUR-BO-10004015,"Minimalist Bookshelf",0,0.00,0,1
FUR-BO-10004218,"Sectional Sofa",0,0.00,0,1
FUR-BO-10004357,"Rolling Cabinet",22,301.47,15,1
FUR-BO-10004360,"Ergonomic Stool",5,160.98,30,1
FUR-BO-10004409,"Minimalist Bookshelf",0,0.00,0,1
FUR-BO-10004467,"Rolling Cabinet",36,67.99,20,1
FUR-BO-10004690,"Executive Chair",11,384.94,15,1
FUR-BO-10004695,"Rolling Cabinet",40,289.57,15,1
FUR-BO-10004709,"Oak Coffee Table",0,0.00,0,1
FUR-BO-10004834,"Modular Desk",0,0.00,0,1
FUR-CH-10000015,"Graphing Notebook",40,866.40,15,2
FUR-CH-10000155,"Graphing Notebook",17,239.24,15,2
FUR-CH-10000225,"Erasable Pen",0,0.00,0,2
FUR-CH-10000229,"Thermal Binder",12,379.37,15,2
FUR-CH-10000309,"Poly Envelopes",22,887.27,15,2
FUR-CH-10000422,"Desk Organizer",44,90.99,20,2
FUR-CH-10000454,"Poly Envelopes",0,0.00,0,2
FUR-CH-10000513,"Graphing Notebook",49,181.99,30,2
FUR-CH-10000553,"Matte Paper",0,0.00,0,2
