Transaction_date,Quantity,Subtotal,Taxes,DiscountPrice,TotalAmount,Payment_Method,Products_ProductID,CustomerCart_CustomerID,Cashier_CashierID
2014-01-08,2,5.31,0.33,0.00,5.64,netbanking,OFF-BI-10004094,Alejandro,2
2014-01-08,3,29.46,1.84,0.00,31.30,netbanking,OFF-LA-10003223,Tracy,2
2014-01-08,3,681.84,36.22,102.28,718.06,netbanking,OFF-ST-10002743,Andrew,2
2014-01-12,3,48.84,2.75,4.88,51.59,Debitcard,OFF-AR-10003478,Patrick,1
2014-01-13,2,9.34,0.58,0.00,9.93,"Credit card",OFF-AR-10004078,Joel,1
2014-01-13,3,62.40,3.51,6.24,65.91,"Credit card",TEC-AC-10001266,Karen,1
2014-01-14,2,3.98,0.25,0.00,4.22,"Credit card",FUR-FU-10000010,Harold,3
2014-01-15,1,41.55,2.34,4.16,43.89,"Credit card",FUR-FU-10000965,Ken,1
2014-01-15,3,11.28,0.71,0.00,11.99,"Credit card",OFF-BI-10004187,Matt,3
2014-01-15,3,50.94,2.87,5.09,53.81,"Credit card",OFF-EN-10001532,Claire,3
2014-01-15,2,22.72,1.28,2.27,24.00,"Credit card",OFF-EN-10001990,Darren,3
2014-01-15,1,2.89,0.18,0.00,3.07,"Credit card",OFF-LA-10004272,Gene,1
2014-01-15,6,916.13,40.08,274.84,956.21,"Credit card",OFF-ST-10000025,Irene,3
2014-01-15,6,1552.18,82.46,232.83,1634.64,"Credit card",TEC-AC-10003174,Zuschuss,3
2014-01-16,6,545.94,27.30,109.19,573.24,"Credit card",FUR-CH-10000422,Brosina,1
2014-01-17,5,149.95,8.43,15.00,158.38,Debitcard,TEC-AC-10003628,Andrew,3
2014-01-18,3,550.12,24.07,165.03,574.18,COD,FUR-BO-10003034,Claire,2
2014-01-18,6,127.10,7.15,12.71,134.25,COD,FUR-FU-10001095,Irene,1
2014-01-18,5,31.84,1.99,0.00,33.83,COD,OFF-AR-10003514,Brosina,2
2014-01-18,2,37.18,2.09,3.72,39.27,COD,OFF-BI-10001575,Sean,1
2014-01-18,3,90.22,5.07,9.02,95.29,COD,OFF-LA-10001074,Odella,1
2014-01-18,5,1325.85,70.44,198.88,1396.29,COD,OFF-ST-10000078,Claire,2
2014-01-18,3,248.40,12.42,49.68,260.82,COD,TEC-PH-10004614,Brendan,1
2014-01-26,3,1708.70,90.77,256.31,1799.48,"Credit card",FUR-CH-10002331,Ken,2
2014-01-26,4,77.20,4.34,7.72,81.54,"Credit card",FUR-FU-10003194,Steve,2
2014-01-26,7,22.96,1.44,0.00,24.40,"Credit card",OFF-AR-10002375,Claire,2
2014-01-26,3,19.89,1.24,0.00,21.13,"Credit card",OFF-AR-10003811,Patrick,2
2014-01-26,3,46.68,2.63,4.67,49.31,"Credit card",OFF-EN-10001539,Irene,2
2014-01-26,7,1119.89,49.00,335.97,1168.88,"Credit card",TEC-PH-10001061,Patrick,2
2014-01-31,3,9.94,0.62,0.00,10.56,COD,FUR-FU-10001847,Odella,2
2014-01-31,3,75.38,4.24,7.54,79.62,COD,FUR-FU-10004587,Janet,2
2014-01-31,2,13.34,0.83,0.00,14.18,COD,OFF-PA-10000380,Tracy,2
2014-01-31,3,31.10,1.75,3.11,32.85,COD,OFF-PA-10003072,Paul,2
2014-01-31,8,783.87,39.19,156.77,823.07,COD,OFF-ST-10004337,Darrin,2
2014-01-31,2,300.77,13.16,90.23,313.93,COD,TEC-PH-10002103,Gene,2
2014-01-31,13,372.84,20.97,37.28,393.81,COD,TEC-PH-10004833,Tracy,2
2014-02-02,2,581.33,30.88,87.20,612.22,Debitcard,FUR-BO-10003966,Janet,3
2014-02-02,3,208.13,10.41,41.63,218.53,"Credit card",FUR-TA-10003469,Steve,2
2014-02-02,4,58.30,3.28,5.83,61.58,"Credit card",OFF-AR-10003179,Ted,2
2014-02-02,1,57.23,2.86,11.45,60.09,"Credit card",OFF-ST-10003692,Brendan,2
2014-02-03,1,1.96,0.12,0.00,2.09,COD,OFF-BI-10000343,Paul,3
2014-02-03,6,468.90,23.45,93.78,492.35,Debitcard,TEC-AC-10001432,Steve,2
2014-02-06,3,9.95,0.62,0.00,10.58,Debitcard,OFF-BI-10002827,Henry,2
2014-02-06,2,125.76,6.29,25.15,132.05,Debitcard,OFF-BI-10004593,Henry,2
2014-02-06,5,37.05,2.32,0.00,39.37,"Credit card",OFF-FA-10001843,Sandra,2
2014-02-08,3,62.17,3.50,6.22,65.67,"Credit card",OFF-BI-10004230,Linda,3
2014-02-08,4,68.48,3.85,6.85,72.33,"Credit card",OFF-PA-10000350,Claire,3
2014-02-09,4,12.00,0.75,0.00,12.75,COD,OFF-LA-10002787,Sean,3
2014-02-09,5,144.95,8.15,14.50,153.10,COD,TEC-PH-10001615,Ruben,3
2014-02-09,1,161.61,7.07,48.48,168.68,COD,TEC-PH-10003645,Harold,3
2014-02-12,7,230.72,12.98,23.07,243.70,netbanking,TEC-AC-10000710,Harold,2
2014-02-18,2,113.37,5.67,22.67,119.04,Cash,FUR-CH-10000225,Ken,2
2014-02-21,2,15.92,1.00,0.00,16.92,Debitcard,OFF-AP-10001303,Ruben,2
2014-02-21,3,3.24,0.20,0.00,3.44,Debitcard,OFF-BI-10002012,Darrin,2
2014-02-25,5,13.28,0.83,0.00,14.10,Cash,OFF-BI-10004094,Karen,3
2014-02-26,4,24.38,1.52,0.00,25.91,EMI,FUR-FU-10000221,Erin,1
2014-02-26,3,186.93,9.35,37.39,196.28,EMI,TEC-AC-10001284,Emily,1
2014-03-04,5,354.90,17.75,70.98,372.65,EMI,OFF-ST-10001370,Zuschuss,1
2014-03-06,2,915.14,48.62,137.27,963.75,Cash,FUR-CH-10004063,Henry,1
2014-03-07,4,38.91,2.43,0.00,41.34,Debitcard,OFF-AR-10003560,Ted,1
2014-03-08,1,48.71,2.74,4.87,51.45,Cash,FUR-CH-10004477,Darren,3
2014-03-08,3,17.94,1.12,0.00,19.06,Cash,OFF-AR-10001427,Ted,3
2014-03-08,5,18.99,1.19,0.00,20.18,netbanking,OFF-BI-10003429,Paul,2
2014-03-08,3,188.64,9.43,37.73,198.07,netbanking,OFF-BI-10004593,Kunst,2
2014-03-08,3,194.35,9.72,38.87,204.07,Cash,OFF-ST-10002344,Tracy,3
2014-03-08,1,7.99,0.50,0.00,8.49,netbanking,TEC-PH-10004700,Steve,2
2014-03-09,3,31.10,1.75,3.11,32.85,EMI,OFF-AR-10001374,Steve,2
2014-03-14,14,108.92,6.81,0.00,115.73,netbanking,OFF-PA-10002137,Kunst,1
2014-03-14,2,35.81,2.01,3.58,37.82,"Credit card",OFF-PA-10002259,Odella,2
2014-03-16,5,20.80,1.30,0.00,22.10,EMI,FUR-FU-10003981,Eric,2
2014-03-16,6,20.93,1.31,0.00,22.24,EMI,OFF-FA-10001561,Lena,2
2014-03-17,4,103.96,5.85,10.40,109.81,Cash,OFF-AR-10001044,Joel,2
